Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ_ID,FVE_ID,DFM_ID,Final_ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,sample_date,year
LL-N,Estacion,N,01/09/22,3,A,1,priach,priach,priach,priach,0002,3.5,Y,Y,N,1,NA,NA,2022-09-01,2022
LL-N,Estacion,N,01/09/22,3,A,2,priach,priach,priach,priach,0002,3.6,Y,Y,N,2,NA,NA,2022-09-01,2022
LL-N,Estacion,N,01/09/22,4,A,3,priach,priach,priach,priach,0002,3.4,Y,Y,N,3,NA,NA,2022-09-01,2022
LL-N,Estacion,N,01/09/22,4,C,4,priach,priach,priach,priach,0002,2.3,Y,Y,N,4,NA,NA,2022-09-01,2022
LL-N,Estacion,N,01/09/22,4,D,5,priach,priach,priach,priach,0022,3.9,Y,Y,N,5,NA,"lost dedo, so cut 0022, escapó uno del 4D",2022-09-01,2022
LL-C,Estacion,C,01/09/22,1,A,6,priach,priach,priach,priach,0003,4.2,Y,Y,N,6,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,1,C,7,priach,priach,priach,priach,0003,4,Y,Y,N,7,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,1,D,8,priach,priach,priach,priach,0003,3.5,Y,Y,N,8,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,2,A,9,priach,priach,priach,priach,0003,0.9,Y,Y,N,9,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,2,D,10,priach,priach,priach,priach,0003,2.8,Y,Y,N,10,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,2,D,11,priach,priach,priach,priach,0003,3.2,Y,Y,N,11,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,3,B,12,priach,priach,priach,priach,0003,2.8,Y,Y,N,12,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,3,B,13,priach,priach,priach,priach,0003,3.3,Y,Y,N,13,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,3,C,14,priach,priach,priach,priach,0003,2.2,Y,Y,N,14,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,3,D,15,priach,priach,priach,priach,0003,2.3,Y,Y,N,15,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,4,A,16,priach,priach,priach,priach,0003,3.9,Y,Y,N,16,NA,NA,2022-09-01,2022
LL-C,Estacion,C,01/09/22,4,C,17,priach,priach,priach,priach,0003,3.2,Y,Y,N,17,NA,NA,2022-09-01,2022
JZ-C,Estacion,C,02/09/22,1,B,18,priach,priach,priach,priach,0505,2.9,Y,Y,N,18,NA,"lost dedo, so recut to get genetic sample",2022-09-02,2022
JZ-C,Estacion,C,02/09/22,1,D,19,priach,priach,priach,priach,0005,3,Y,Y,N,19,NA,NA,2022-09-02,2022
JZ-C,Estacion,C,02/09/22,1,D,20,priach,priach,priach,priach,0005,2.4,Y,Y,N,20,NA,NA,2022-09-02,2022
JZ-C,Estacion,C,02/09/22,2,B,21,priach,priach,priach,priach,0005,3.9,Y,Y,N,21,NA,NA,2022-09-02,2022
JZ-C,Estacion,C,02/09/22,2,D,22,priach,priach,priach,priach,0005,2.6,Y,Y,N,22,NA,NA,2022-09-02,2022
JZ-N,Estacion,N,02/09/22,1,D,23,priach,priach,priach,priach,0020,3.2,Y,Y,N,23,NA,NA,2022-09-02,2022
LL-C,Estacion,C,03/09/22,1,A,24,priach,priach,priach,priach,0033,1.1,Y,Y,N,24,NA,"lost dedo, so cut two",2022-09-03,2022
LL-C,Estacion,C,03/09/22,1,A,25,priach,priach,priach,priach,0003,2.9,Y,Y,N,25,NA,NA,2022-09-03,2022
LL-C,Estacion,C,03/09/22,2,D,26,priach,priach,priach,priach,0003,2.8,Y,Y,N,26,NA,escapó uno de 3B,2022-09-03,2022
LL-C,Estacion,C,03/09/22,3,A,27,priach,priach,priach,priach,0003,2.8,Y,Y,N,27,NA,NA,2022-09-03,2022
LL-C,Estacion,C,03/09/22,3,C,28,priach,priach,priach,priach,0003,2.2,Y,Y,N,28,NA,NA,2022-09-03,2022
LL-C,Estacion,C,03/09/22,4,C,29,priach,priach,priach,priach,0003,2.1,Y,Y,N,29,NA,NA,2022-09-03,2022
LL-C,Estacion,C,03/09/22,4,C,30,priach,priach,priach,priach,0003,2.7,Y,Y,N,30,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,1,B,31,priach,priach,priach,priach,0002,2.6,Y,Y,N,31,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,1,B,32,priach,priach,priach,priach,0002,2.6,Y,Y,N,32,NA,escapó uno de 1C,2022-09-03,2022
LL-N,Estacion,N,03/09/22,1,D,33,priach,priach,priach,priach,0002,2.9,Y,Y,N,33,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,1,D,34,priach,priach,priach,priach,0002,2.9,Y,Y,N,34,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,2,A,35,priach,priach,priach,priach,0002,3.5,Y,Y,N,35,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,2,C,36,priach,priach,priach,priach,0002,2.9,Y,Y,N,36,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,2,C,37,priach,priach,priach,priach,0002,3.1,Y,Y,N,37,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,2,C,38,priach,priach,priach,priach,0002,1.8,Y,Y,N,38,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,2,D,39,priach,priach,priach,priach,0002,2.8,Y,Y,N,39,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,4,B,40,priach,priach,priach,priach,0002,3.7,Y,Y,N,40,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,4,B,41,priach,priach,priach,priach,0002,2.8,Y,Y,N,41,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,4,B,42,priach,priach,priach,priach,0002,3,Y,Y,N,42,NA,NA,2022-09-03,2022
LL-N,Estacion,N,03/09/22,4,C,43,priach,priach,priach,priach,0002,3.4,Y,Y,N,43,NA,NA,2022-09-03,2022
JZ-N,Estacion,N,05/09/22,1,C,44,priach,priach,priach,priach,0020,3.4,Y,Y,N,44,NA,NA,2022-09-05,2022
JZ-N,Estacion,N,05/09/22,2,A,45,priach,priach,priach,priach,0020,2.3,Y,Y,N,45,NA,NA,2022-09-05,2022
